BBupper,BBlower,TargetTime,MACD_hist,slowD,slowK,BBmiddle,StockID,OperationTime
269.4248398513114,233.32891190344935,1588339800.0,3.4663314150669153,66.8620788820359,70.73091742223697,251.37687587738037,NVDA,1589034402
271.6929597864752,240.83579349416442,1588253400.0,4.198650365784122,70.54035466759167,79.20757098681635,256.2643766403198,NVDA,1589034402
272.31256345729275,248.73493906040744,1588167000.0,4.219137634802044,79.58625976105054,88.8202908740983,260.5237512588501,NVDA,1589034402
277.36305697119553,249.3744479879109,1588080600.0,4.865760132041935,87.1692980089184,93.48003216584056,263.3687524795532,NVDA,1589034402
281.1205322744174,251.45447421056792,1587994200.0,4.823444803954766,90.64007110415405,89.61989027252325,266.2875032424927,NVDA,1589034402
283.58999241076265,252.7112637690469,1587735000.0,4.156107243664515,88.805909161087,83.31780504489718,268.1506280899048,NVDA,1589034402
284.1167293766135,254.28202855795683,1587648600.0,2.3394880990928018,78.40519525193271,62.2778904383777,269.19937896728516,NVDA,1589034402
285.9122626649334,255.05649496446114,1587562200.0,2.073704867862066,67.50279570476309,56.91269163101439,270.48437881469727,NVDA,1589034402
287.40813929778625,256.11186878937195,1587475800.0,1.5906682447021723,57.896864242108045,54.500010656932055,271.7600040435791,NVDA,1589034402
288.9795657264156,260.3554409874516,1587389400.0,1.4858280226704323,59.82719118987359,68.06887128167433,274.6675033569336,NVDA,1589034402
291.63589834940166,262.90035653341084,1587130200.0,1.74203534464632,64.98514145469632,72.38654242548257,277.26812744140625,NVDA,1589034402
292.0870807171269,268.3804218768672,1587043800.0,1.3641082167300471,71.06641982725559,72.74384577460984,280.23375129699707,NVDA,1589034402
294.318302771436,269.9066995173824,1586957400.0,1.4235633043879048,74.18382980681474,77.42110122035182,282.1125011444092,NVDA,1589034402
295.04530235504336,273.335949933775,1586871000.0,0.903301271001947,74.25136981218787,72.58916244160196,284.1906261444092,NVDA,1589034402
295.09927841382887,275.2607221965227,1586784600.0,-0.16697714498979188,71.62949014876747,64.87820678434863,285.1800003051758,NVDA,1589034402
48.687300046371305,42.99395100267044,1588339800.0,0.8491534091562865,83.8945296177779,88.64121021174545,45.840625524520874,AMD,1589034402
49.948363998404986,43.64788701248979,1588253400.0,1.1481325630673662,86.90268065132693,91.72625132989187,46.79812550544739,AMD,1589034402
51.061655984896234,44.203345312100836,1588167000.0,1.2778660385329847,92.66342222089902,97.62280512105978,47.632500648498535,AMD,1589034402
52.37874328206064,44.22750795771597,1588080600.0,1.4130596584233108,95.04492665785624,95.78572352261705,48.303125619888306,AMD,1589034402
